text,book
"I must throw in a good word for my little Lizzy.""",Pride & Prejudice
,Pride & Prejudice
"""I desire you will do no such thing. Lizzy is not a bit better than the",Pride & Prejudice
"others; and I am sure she is not half so handsome as Jane, nor half so",Pride & Prejudice
"good-humoured as Lydia. But you are always giving _her_ the preference.""",Pride & Prejudice
,Pride & Prejudice
"""They have none of them much to recommend them,"" replied he; ""they are",Pride & Prejudice
all silly and ignorant like other girls; but Lizzy has something more of,Pride & Prejudice
"quickness than her sisters.""",Pride & Prejudice
,Pride & Prejudice
"""Mr. Bennet, how _can_ you abuse your own children in such a way? You",Pride & Prejudice
"take delight in vexing me. You have no compassion for my poor nerves.""",Pride & Prejudice
,Pride & Prejudice
"""You mistake me, my dear. I have a high respect for your nerves. They",Pride & Prejudice
are my old friends. I have heard you mention them with consideration,Pride & Prejudice
"these last twenty years at least.""",Pride & Prejudice
,Pride & Prejudice
"""Ah, you do not know what I suffer.""",Pride & Prejudice
,Pride & Prejudice
"""But I hope you will get over it, and live to see many young men of four",Pride & Prejudice
"thousand a year come into the neighbourhood.""",Pride & Prejudice
,Pride & Prejudice
"""It will be no use to us, if twenty such should come, since you will not",Pride & Prejudice
"visit them.""",Pride & Prejudice
,Pride & Prejudice
"""Depend upon it, my dear, that when there are twenty, I will visit them",Pride & Prejudice
"all.""",Pride & Prejudice
,Pride & Prejudice
"Mr. Bennet was so odd a mixture of quick parts, sarcastic humour,",Pride & Prejudice
"reserve, and caprice, that the experience of three-and-twenty years had",Pride & Prejudice
been insufficient to make his wife understand his character. _Her_ mind,Pride & Prejudice
"was less difficult to develop. She was a woman of mean understanding,",Pride & Prejudice
"little information, and uncertain temper. When she was discontented,",Pride & Prejudice
she fancied herself nervous. The business of her life was to get her,Pride & Prejudice
daughters married; its solace was visiting and news.,Pride & Prejudice
,Pride & Prejudice
,Pride & Prejudice
,Pride & Prejudice
Chapter 2,Pride & Prejudice
,Pride & Prejudice
,Pride & Prejudice
Mr. Bennet was among the earliest of those who waited on Mr. Bingley. He,Pride & Prejudice
"had always intended to visit him, though to the last always assuring",Pride & Prejudice
his wife that he should not go; and till the evening after the visit was,Pride & Prejudice
paid she had no knowledge of it. It was then disclosed in the following,Pride & Prejudice
"manner. Observing his second daughter employed in trimming a hat, he",Pride & Prejudice
suddenly addressed her with:,Pride & Prejudice
,Pride & Prejudice
"""I hope Mr. Bingley will like it, Lizzy.""",Pride & Prejudice
,Pride & Prejudice
"""We are not in a way to know _what_ Mr. Bingley likes,"" said her mother",Pride & Prejudice
"resentfully, ""since we are not to visit.""",Pride & Prejudice
,Pride & Prejudice
"""But you forget, mamma,"" said Elizabeth, ""that we shall meet him at the",Pride & Prejudice
"assemblies, and that Mrs. Long promised to introduce him.""",Pride & Prejudice
,Pride & Prejudice
"""I do not believe Mrs. Long will do any such thing. She has two nieces",Pride & Prejudice
"of her own. She is a selfish, hypocritical woman, and I have no opinion",Pride & Prejudice
"of her.""",Pride & Prejudice
,Pride & Prejudice
"""No more have I,"" said Mr. Bennet; ""and I am glad to find that you do",Pride & Prejudice
"not depend on her serving you.""",Pride & Prejudice
,Pride & Prejudice
"Mrs. Bennet deigned not to make any reply, but, unable to contain",Pride & Prejudice
"herself, began scolding one of her daughters.",Pride & Prejudice
,Pride & Prejudice
"""Don't keep coughing so, Kitty, for Heaven's sake! Have a little",Pride & Prejudice
"compassion on my nerves. You tear them to pieces.""",Pride & Prejudice
,Pride & Prejudice
"""Kitty has no discretion in her coughs,"" said her father; ""she times",Pride & Prejudice
"them ill.""",Pride & Prejudice
,Pride & Prejudice
"""I do not cough for my own amusement,"" replied Kitty fretfully. ""When is",Pride & Prejudice
"your next ball to be, Lizzy?""",Pride & Prejudice
,Pride & Prejudice
"""To-morrow fortnight.""",Pride & Prejudice
,Pride & Prejudice
"""Aye, so it is,"" cried her mother, ""and Mrs. Long does not come back",Pride & Prejudice
"till the day before; so it will be impossible for her to introduce him,",Pride & Prejudice
"for she will not know him herself.""",Pride & Prejudice
,Pride & Prejudice
"""Then, my dear, you may have the advantage of your friend, and introduce",Pride & Prejudice
"Mr. Bingley to _her_.""",Pride & Prejudice
,Pride & Prejudice
"""Impossible, Mr. Bennet, impossible, when I am not acquainted with him",Pride & Prejudice
"myself; how can you be so teasing?""",Pride & Prejudice
,Pride & Prejudice
"""I honour your circumspection. A fortnight's acquaintance is certainly",Pride & Prejudice
very little. One cannot know what a man really is by the end of a,Pride & Prejudice
"fortnight. But if _we_ do not venture somebody else will; and after all,",Pride & Prejudice
"Mrs. Long and her neices must stand their chance; and, therefore, as",Pride & Prejudice
"she will think it an act of kindness, if you decline the office, I will",Pride & Prejudice
"take it on myself.""",Pride & Prejudice
,Pride & Prejudice
"The girls stared at their father. Mrs. Bennet said only, ""Nonsense,",Pride & Prejudice
"nonsense!""",Pride & Prejudice
,Pride & Prejudice
"""What can be the meaning of that emphatic exclamation?"" cried he. ""Do",Pride & Prejudice
"you consider the forms of introduction, and the stress that is laid on",Pride & Prejudice
"them, as nonsense? I cannot quite agree with you _there_. What say you,",Pride & Prejudice
"Mary? For you are a young lady of deep reflection, I know, and read",Pride & Prejudice
"great books and make extracts.""",Pride & Prejudice
,Pride & Prejudice
"Mary wished to say something sensible, but knew not how.",Pride & Prejudice
,Pride & Prejudice
"""While Mary is adjusting her ideas,"" he continued, ""let us return to Mr.",Pride & Prejudice
"Bingley.""",Pride & Prejudice
,Pride & Prejudice
"""I am sick of Mr. Bingley,"" cried his wife.",Pride & Prejudice
,Pride & Prejudice
"""I am sorry to hear _that_; but why did not you tell me that before? If",Pride & Prejudice
I had known as much this morning I certainly would not have called,Pride & Prejudice
"on him. It is very unlucky; but as I have actually paid the visit, we",Pride & Prejudice
"cannot escape the acquaintance now.""",Pride & Prejudice
,Pride & Prejudice
The astonishment of the ladies was just what he wished; that of Mrs.,Pride & Prejudice
"Bennet perhaps surpassing the rest; though, when the first tumult of joy",Pride & Prejudice
"was over, she began to declare that it was what she had expected all the",Pride & Prejudice
while.,Pride & Prejudice
,Pride & Prejudice
"""How good it was in you, my dear Mr. Bennet! But I knew I should",Pride & Prejudice
persuade you at last. I was sure you loved your girls too well to,Pride & Prejudice
"neglect such an acquaintance. Well, how pleased I am! and it is such a",Pride & Prejudice
"good joke, too, that you should have gone this morning and never said a",Pride & Prejudice
"word about it till now.""",Pride & Prejudice
,Pride & Prejudice
"""Now, Kitty, you may cough as much as you choose,"" said Mr. Bennet; and,",Pride & Prejudice
"as he spoke, he left the room, fatigued with the raptures of his wife.",Pride & Prejudice
,Pride & Prejudice
"""What an excellent father you have, girls!"" said she, when the door was",Pride & Prejudice
"shut. ""I do not know how you will ever make him amends for his kindness;",Pride & Prejudice
"or me, either, for that matter. At our time of life it is not so",Pride & Prejudice
"pleasant, I can tell you, to be making new acquaintances every day; but",Pride & Prejudice
"for your sakes, we would do anything. Lydia, my love, though you _are_",Pride & Prejudice
"the youngest, I dare say Mr. Bingley will dance with you at the next",Pride & Prejudice
"ball.""",Pride & Prejudice
,Pride & Prejudice
"""Oh!"" said Lydia stoutly, ""I am not afraid; for though I _am_ the",Pride & Prejudice
"youngest, I'm the tallest.""",Pride & Prejudice
,Pride & Prejudice
The rest of the evening was spent in conjecturing how soon he would,Pride & Prejudice
"return Mr. Bennet's visit, and determining when they should ask him to",Pride & Prejudice
dinner.,Pride & Prejudice
,Pride & Prejudice
,Pride & Prejudice
,Pride & Prejudice
Chapter 3,Pride & Prejudice
,Pride & Prejudice
,Pride & Prejudice
"Not all that Mrs. Bennet, however, with the assistance of her five",Pride & Prejudice
"daughters, could ask on the subject, was sufficient to draw from her",Pride & Prejudice
husband any satisfactory description of Mr. Bingley. They attacked him,Pride & Prejudice
"in various ways--with barefaced questions, ingenious suppositions, and",Pride & Prejudice
"distant surmises; but he eluded the skill of them all, and they were at",Pride & Prejudice
"last obliged to accept the second-hand intelligence of their neighbour,",Pride & Prejudice
Lady Lucas. Her report was highly favourable. Sir William had been,Pride & Prejudice
"delighted with him. He was quite young, wonderfully handsome, extremely",Pride & Prejudice
"agreeable, and, to crown the whole, he meant to be at the next assembly",Pride & Prejudice
with a large party. Nothing could be more delightful! To be fond of,Pride & Prejudice
dancing was a certain step towards falling in love; and very lively,Pride & Prejudice
hopes of Mr. Bingley's heart were entertained.,Pride & Prejudice
,Pride & Prejudice
"""If I can but see one of my daughters happily settled at Netherfield,""",Pride & Prejudice
"said Mrs. Bennet to her husband, ""and all the others equally well",Pride & Prejudice
"married, I shall have nothing to wish for.""",Pride & Prejudice
,Pride & Prejudice
"In a few days Mr. Bingley returned Mr. Bennet's visit, and sat about",Pride & Prejudice
ten minutes with him in his library. He had entertained hopes of being,Pride & Prejudice
"admitted to a sight of the young ladies, of whose beauty he had",Pride & Prejudice
heard much; but he saw only the father. The ladies were somewhat more,Pride & Prejudice
"fortunate, for they had the advantage of ascertaining from an upper",Pride & Prejudice
"window that he wore a blue coat, and rode a black horse.",Pride & Prejudice
,Pride & Prejudice
An invitation to dinner was soon afterwards dispatched; and already,Pride & Prejudice
had Mrs. Bennet planned the courses that were to do credit to her,Pride & Prejudice
"housekeeping, when an answer arrived which deferred it all. Mr. Bingley",Pride & Prejudice
"was obliged to be in town the following day, and, consequently, unable",Pride & Prejudice
"to accept the honour of their invitation, etc. Mrs. Bennet was quite",Pride & Prejudice
disconcerted. She could not imagine what business he could have in town,Pride & Prejudice
so soon after his arrival in Hertfordshire; and she began to fear that,Pride & Prejudice
"he might be always flying about from one place to another, and never",Pride & Prejudice
settled at Netherfield as he ought to be. Lady Lucas quieted her fears,Pride & Prejudice
a little by starting the idea of his being gone to London only to get,Pride & Prejudice
a large party for the ball; and a report soon followed that Mr. Bingley,Pride & Prejudice
was to bring twelve ladies and seven gentlemen with him to the assembly.,Pride & Prejudice
"The girls grieved over such a number of ladies, but were comforted the",Pride & Prejudice
"day before the ball by hearing, that instead of twelve he brought only",Pride & Prejudice
six with him from London--his five sisters and a cousin. And when,Pride & Prejudice
the party entered the assembly room it consisted of only five,Pride & Prejudice
"altogether--Mr. Bingley, his two sisters, the husband of the eldest, and",Pride & Prejudice
another young man.,Pride & Prejudice
,Pride & Prejudice
Mr. Bingley was good-looking and gentlemanlike; he had a pleasant,Pride & Prejudice
"countenance, and easy, unaffected manners. His sisters were fine women,",Pride & Prejudice
"with an air of decided fashion. His brother-in-law, Mr. Hurst, merely",Pride & Prejudice
looked the gentleman; but his friend Mr. Darcy soon drew the attention,Pride & Prejudice
"of the room by his fine, tall person, handsome features, noble mien, and",Pride & Prejudice
the report which was in general circulation within five minutes,Pride & Prejudice
"after his entrance, of his having ten thousand a year. The gentlemen",Pride & Prejudice
"pronounced him to be a fine figure of a man, the ladies declared he",Pride & Prejudice
"was much handsomer than Mr. Bingley, and he was looked at with great",Pride & Prejudice
"admiration for about half the evening, till his manners gave a disgust",Pride & Prejudice
which turned the tide of his popularity; for he was discovered to be,Pride & Prejudice
"proud; to be above his company, and above being pleased; and not all",Pride & Prejudice
his large estate in Derbyshire could then save him from having a most,Pride & Prejudice
"forbidding, disagreeable countenance, and being unworthy to be compared",Pride & Prejudice
with his friend.,Pride & Prejudice
,Pride & Prejudice
Mr. Bingley had soon made himself acquainted with all the principal,Pride & Prejudice
"people in the room; he was lively and unreserved, danced every dance,",Pride & Prejudice
"was angry that the ball closed so early, and talked of giving",Pride & Prejudice
one himself at Netherfield. Such amiable qualities must speak for,Pride & Prejudice
themselves. What a contrast between him and his friend! Mr. Darcy danced,Pride & Prejudice
"only once with Mrs. Hurst and once with Miss Bingley, declined being",Pride & Prejudice
"introduced to any other lady, and spent the rest of the evening in",Pride & Prejudice
"walking about the room, speaking occasionally to one of his own party.",Pride & Prejudice
"His character was decided. He was the proudest, most disagreeable man",Pride & Prejudice
"in the world, and everybody hoped that he would never come there again.",Pride & Prejudice
"Amongst the most violent against him was Mrs. Bennet, whose dislike of",Pride & Prejudice
his general behaviour was sharpened into particular resentment by his,Pride & Prejudice
having slighted one of her daughters.,Pride & Prejudice
,Pride & Prejudice
"Elizabeth Bennet had been obliged, by the scarcity of gentlemen, to sit",Pride & Prejudice
"down for two dances; and during part of that time, Mr. Darcy had been",Pride & Prejudice
standing near enough for her to hear a conversation between him and Mr.,Pride & Prejudice
"Bingley, who came from the dance for a few minutes, to press his friend",Pride & Prejudice
to join it.,Pride & Prejudice
,Pride & Prejudice
"""Come, Darcy,"" said he, ""I must have you dance. I hate to see you",Pride & Prejudice
standing about by yourself in this stupid manner. You had much better,Pride & Prejudice
"dance.""",Pride & Prejudice
,Pride & Prejudice
"""I certainly shall not. You know how I detest it, unless I am",Pride & Prejudice
particularly acquainted with my partner. At such an assembly as this,Pride & Prejudice
"it would be insupportable. Your sisters are engaged, and there is not",Pride & Prejudice
another woman in the room whom it would not be a punishment to me to,Pride & Prejudice
"stand up with.""",Pride & Prejudice
,Pride & Prejudice
"""I would not be so fastidious as you are,"" cried Mr. Bingley, ""for a",Pride & Prejudice
"kingdom! Upon my honour, I never met with so many pleasant girls in",Pride & Prejudice
my life as I have this evening; and there are several of them you see,Pride & Prejudice
"uncommonly pretty.""",Pride & Prejudice
,Pride & Prejudice
"""_You_ are dancing with the only handsome girl in the room,"" said Mr.",Pride & Prejudice
"Darcy, looking at the eldest Miss Bennet.",Pride & Prejudice
,Pride & Prejudice
"""Oh! She is the most beautiful creature I ever beheld! But there is one",Pride & Prejudice
"of her sisters sitting down just behind you, who is very pretty, and I",Pride & Prejudice
"dare say very agreeable. Do let me ask my partner to introduce you.""",Pride & Prejudice
,Pride & Prejudice
"""Which do you mean?"" and turning round he looked for a moment at",Pride & Prejudice
"Elizabeth, till catching her eye, he withdrew his own and coldly said:",Pride & Prejudice
"""She is tolerable, but not handsome enough to tempt _me_; I am in no",Pride & Prejudice
humour at present to give consequence to young ladies who are slighted,Pride & Prejudice
by other men. You had better return to your partner and enjoy her,Pride & Prejudice
"smiles, for you are wasting your time with me.""",Pride & Prejudice
,Pride & Prejudice
Mr. Bingley followed his advice. Mr. Darcy walked off; and Elizabeth,Pride & Prejudice
"remained with no very cordial feelings toward him. She told the story,",Pride & Prejudice
"however, with great spirit among her friends; for she had a lively,",Pride & Prejudice
"playful disposition, which delighted in anything ridiculous.",Pride & Prejudice
,Pride & Prejudice
The evening altogether passed off pleasantly to the whole family. Mrs.,Pride & Prejudice
Bennet had seen her eldest daughter much admired by the Netherfield,Pride & Prejudice
"party. Mr. Bingley had danced with her twice, and she had been",Pride & Prejudice
distinguished by his sisters. Jane was as much gratified by this as,Pride & Prejudice
"her mother could be, though in a quieter way. Elizabeth felt Jane's",Pride & Prejudice
pleasure. Mary had heard herself mentioned to Miss Bingley as the most,Pride & Prejudice
accomplished girl in the neighbourhood; and Catherine and Lydia had been,Pride & Prejudice
"fortunate enough never to be without partners, which was all that they",Pride & Prejudice
"had yet learnt to care for at a ball. They returned, therefore, in good",Pride & Prejudice
"spirits to Longbourn, the village where they lived, and of which they",Pride & Prejudice
were the principal inhabitants. They found Mr. Bennet still up. With,Pride & Prejudice
a book he was regardless of time; and on the present occasion he had a,Pride & Prejudice
good deal of curiosity as to the event of an evening which had raised,Pride & Prejudice
such splendid expectations. He had rather hoped that his wife's views on,Pride & Prejudice
the stranger would be disappointed; but he soon found out that he had a,Pride & Prejudice
different story to hear.,Pride & Prejudice
,Pride & Prejudice
"""Oh! my dear Mr. Bennet,"" as she entered the room, ""we have had a most",Pride & Prejudice
"delightful evening, a most excellent ball. I wish you had been there.",Pride & Prejudice
"Jane was so admired, nothing could be like it. Everybody said how well",Pride & Prejudice
"she looked; and Mr. Bingley thought her quite beautiful, and danced with",Pride & Prejudice
"her twice! Only think of _that_, my dear; he actually danced with her",Pride & Prejudice
twice! and she was the only creature in the room that he asked a second,Pride & Prejudice
"time. First of all, he asked Miss Lucas. I was so vexed to see him stand",Pride & Prejudice
"up with her! But, however, he did not admire her at all; indeed, nobody",Pride & Prejudice
"can, you know; and he seemed quite struck with Jane as she was going",Pride & Prejudice
"down the dance. So he inquired who she was, and got introduced, and",Pride & Prejudice
"asked her for the two next. Then the two third he danced with Miss King,",Pride & Prejudice
"and the two fourth with Maria Lucas, and the two fifth with Jane again,",Pride & Prejudice
"and the two sixth with Lizzy, and the _Boulanger_--""",Pride & Prejudice
,Pride & Prejudice
"""If he had had any compassion for _me_,"" cried her husband impatiently,",Pride & Prejudice
"""he would not have danced half so much! For God's sake, say no more of",Pride & Prejudice
"his partners. Oh that he had sprained his ankle in the first dance!""",Pride & Prejudice
,Pride & Prejudice
"""Oh! my dear, I am quite delighted with him. He is so excessively",Pride & Prejudice
handsome! And his sisters are charming women. I never in my life saw,Pride & Prejudice
anything more elegant than their dresses. I dare say the lace upon Mrs.,Pride & Prejudice
"Hurst's gown--""",Pride & Prejudice
,Pride & Prejudice
Here she was interrupted again. Mr. Bennet protested against any,Pride & Prejudice
description of finery. She was therefore obliged to seek another branch,Pride & Prejudice
"of the subject, and related, with much bitterness of spirit and some",Pride & Prejudice
"exaggeration, the shocking rudeness of Mr. Darcy.",Pride & Prejudice
,Pride & Prejudice
"""But I can assure you,"" she added, ""that Lizzy does not lose much by not",Pride & Prejudice
"suiting _his_ fancy; for he is a most disagreeable, horrid man, not at",Pride & Prejudice
all worth pleasing. So high and so conceited that there was no enduring,Pride & Prejudice
"him! He walked here, and he walked there, fancying himself so very",Pride & Prejudice
"great! Not handsome enough to dance with! I wish you had been there, my",Pride & Prejudice
"dear, to have given him one of your set-downs. I quite detest the man.""",Pride & Prejudice
,Pride & Prejudice
,Pride & Prejudice
,Pride & Prejudice
Chapter 4,Pride & Prejudice
,Pride & Prejudice
,Pride & Prejudice
"When Jane and Elizabeth were alone, the former, who had been cautious in",Pride & Prejudice
"her praise of Mr. Bingley before, expressed to her sister just how very",Pride & Prejudice
much she admired him.,Pride & Prejudice
,Pride & Prejudice
"""He is just what a young man ought to be,"" said she, ""sensible,",Pride & Prejudice
"good-humoured, lively; and I never saw such happy manners!--so much",Pride & Prejudice
"ease, with such perfect good breeding!""",Pride & Prejudice
,Pride & Prejudice
"""He is also handsome,"" replied Elizabeth, ""which a young man ought",Pride & Prejudice
"likewise to be, if he possibly can. His character is thereby complete.""",Pride & Prejudice
,Pride & Prejudice
"""I was very much flattered by his asking me to dance a second time. I",Pride & Prejudice
"did not expect such a compliment.""",Pride & Prejudice
,Pride & Prejudice
"""Did not you? I did for you. But that is one great difference between",Pride & Prejudice
"us. Compliments always take _you_ by surprise, and _me_ never. What",Pride & Prejudice
could be more natural than his asking you again? He could not help,Pride & Prejudice
seeing that you were about five times as pretty as every other woman,Pride & Prejudice
"in the room. No thanks to his gallantry for that. Well, he certainly is",Pride & Prejudice
"very agreeable, and I give you leave to like him. You have liked many a",Pride & Prejudice
"stupider person.""",Pride & Prejudice
,Pride & Prejudice
"""Dear Lizzy!""",Pride & Prejudice
,Pride & Prejudice
"""Oh! you are a great deal too apt, you know, to like people in general.",Pride & Prejudice
You never see a fault in anybody. All the world are good and agreeable,Pride & Prejudice
in your eyes. I never heard you speak ill of a human being in your,Pride & Prejudice
"life.""",Pride & Prejudice
,Pride & Prejudice
"""I would not wish to be hasty in censuring anyone; but I always speak",Pride & Prejudice
"what I think.""",Pride & Prejudice
,Pride & Prejudice
"""I know you do; and it is _that_ which makes the wonder. With _your_",Pride & Prejudice
"good sense, to be so honestly blind to the follies and nonsense of",Pride & Prejudice
others! Affectation of candour is common enough--one meets with it,Pride & Prejudice
everywhere. But to be candid without ostentation or design--to take the,Pride & Prejudice
"good of everybody's character and make it still better, and say nothing",Pride & Prejudice
"of the bad--belongs to you alone. And so you like this man's sisters,",Pride & Prejudice
"too, do you? Their manners are not equal to his.""",Pride & Prejudice
,Pride & Prejudice
"""Certainly not--at first. But they are very pleasing women when you",Pride & Prejudice
"converse with them. Miss Bingley is to live with her brother, and keep",Pride & Prejudice
his house; and I am much mistaken if we shall not find a very charming,Pride & Prejudice
"neighbour in her.""",Pride & Prejudice
,Pride & Prejudice
"Elizabeth listened in silence, but was not convinced; their behaviour at",Pride & Prejudice
the assembly had not been calculated to please in general; and with more,Pride & Prejudice
"quickness of observation and less pliancy of temper than her sister,",Pride & Prejudice
"and with a judgement too unassailed by any attention to herself, she",Pride & Prejudice
was very little disposed to approve them. They were in fact very fine,Pride & Prejudice
"ladies; not deficient in good humour when they were pleased, nor in the",Pride & Prejudice
"power of making themselves agreeable when they chose it, but proud and",Pride & Prejudice
"conceited. They were rather handsome, had been educated in one of the",Pride & Prejudice
"first private seminaries in town, had a fortune of twenty thousand",Pride & Prejudice
"pounds, were in the habit of spending more than they ought, and of",Pride & Prejudice
"associating with people of rank, and were therefore in every respect",Pride & Prejudice
"entitled to think well of themselves, and meanly of others. They were of",Pride & Prejudice
a respectable family in the north of England; a circumstance more deeply,Pride & Prejudice
impressed on their memories than that their brother's fortune and their,Pride & Prejudice
own had been acquired by trade.,Pride & Prejudice
,Pride & Prejudice
Mr. Bingley inherited property to the amount of nearly a hundred,Pride & Prejudice
"thousand pounds from his father, who had intended to purchase an",Pride & Prejudice
"estate, but did not live to do it. Mr. Bingley intended it likewise, and",Pride & Prejudice
sometimes made choice of his county; but as he was now provided with a,Pride & Prejudice
"good house and the liberty of a manor, it was doubtful to many of those",Pride & Prejudice
"who best knew the easiness of his temper, whether he might not spend the",Pride & Prejudice
"remainder of his days at Netherfield, and leave the next generation to",Pride & Prejudice
purchase.,Pride & Prejudice
,Pride & Prejudice
"His sisters were anxious for his having an estate of his own; but,",Pride & Prejudice
"though he was now only established as a tenant, Miss Bingley was by no",Pride & Prejudice
"means unwilling to preside at his table--nor was Mrs. Hurst, who had",Pride & Prejudice
"married a man of more fashion than fortune, less disposed to consider",Pride & Prejudice
his house as her home when it suited her. Mr. Bingley had not been of,Pride & Prejudice
"age two years, when he was tempted by an accidental recommendation",Pride & Prejudice
"to look at Netherfield House. He did look at it, and into it for",Pride & Prejudice
half-an-hour--was pleased with the situation and the principal,Pride & Prejudice
"rooms, satisfied with what the owner said in its praise, and took it",Pride & Prejudice
immediately.,Pride & Prejudice
,Pride & Prejudice
"Between him and Darcy there was a very steady friendship, in spite of",Pride & Prejudice
great opposition of character. Bingley was endeared to Darcy by the,Pride & Prejudice
"easiness, openness, and ductility of his temper, though no disposition",Pride & Prejudice
"could offer a greater contrast to his own, and though with his own he",Pride & Prejudice
"never appeared dissatisfied. On the strength of Darcy's regard, Bingley",Pride & Prejudice
"had the firmest reliance, and of his judgement the highest opinion.",Pride & Prejudice
"In understanding, Darcy was the superior. Bingley was by no means",Pride & Prejudice
"deficient, but Darcy was clever. He was at the same time haughty,",Pride & Prejudice
"reserved, and fastidious, and his manners, though well-bred, were not",Pride & Prejudice
inviting. In that respect his friend had greatly the advantage. Bingley,Pride & Prejudice
"was sure of being liked wherever he appeared, Darcy was continually",Pride & Prejudice
giving offense.,Pride & Prejudice
,Pride & Prejudice
The manner in which they spoke of the Meryton assembly was sufficiently,Pride & Prejudice
characteristic. Bingley had never met with more pleasant people or,Pride & Prejudice
prettier girls in his life; everybody had been most kind and attentive,Pride & Prejudice
"to him; there had been no formality, no stiffness; he had soon felt",Pride & Prejudice
"acquainted with all the room; and, as to Miss Bennet, he could not",Pride & Prejudice
"conceive an angel more beautiful. Darcy, on the contrary, had seen a",Pride & Prejudice
"collection of people in whom there was little beauty and no fashion, for",Pride & Prejudice
"none of whom he had felt the smallest interest, and from none received",Pride & Prejudice
"either attention or pleasure. Miss Bennet he acknowledged to be pretty,",Pride & Prejudice
but she smiled too much.,Pride & Prejudice
,Pride & Prejudice
Mrs. Hurst and her sister allowed it to be so--but still they admired,Pride & Prejudice
"her and liked her, and pronounced her to be a sweet girl, and one",Pride & Prejudice
